O3,TMP,RH,1/RH,WSP,WDR,class
163.0,28.2,17.0,0.058823529,3.2,346.0,1
170.0,28.9,23.0,0.043478261,3.4,355.0,1
181.0,28.9,28.0,0.035714286,4.4,345.0,1
171.0,27.4,32.0,0.03125,4.7,357.0,1
124.0,26.0,37.0,0.027027027,5.2,355.0,1
111.0,23.4,39.0,0.025641026,4.0,347.0,1
85.0,21.7,46.0,0.02173913,3.4,346.0,1
81.0,20.2,51.0,0.019607843,2.8,339.0,1
68.0,19.5,54.0,0.018518519,3.1,346.0,1
53.0,18.5,60.0,0.016666667,2.5,359.0,1
56.0,17.5,65.0,0.015384615,2.4,353.0,1
63.0,16.6,68.0,0.014705882,2.1,356.0,1
65.0,15.6,69.0,0.014492754,1.6,345.0,1
65.0,15.1,73.0,0.01369863,1.7,356.0,1
66.0,14.2,76.0,0.013157895,1.9,330.0,1
61.0,13.5,78.0,0.012820513,1.9,358.0,1
57.0,12.9,80.0,0.0125,1.9,360.0,1
46.0,13.6,77.0,0.012987013,1.9,358.0,1
56.0,15.7,63.0,0.015873016,1.6,353.0,1
62.0,18.5,49.0,0.020408163,1.9,293.0,1
78.0,22.0,40.0,0.025,2.6,264.0,1
100.0,24.9,37.0,0.027027027,3.1,338.0,1
116.0,27.1,34.0,0.029411765,3.2,192.0,1
147.0,28.3,32.0,0.03125,4.0,221.0,1
179.0,28.9,30.0,0.033333333,4.2,275.0,1
198.0,29.7,28.0,0.035714286,4.4,336.0,1
210.0,29.6,30.0,0.033333333,4.8,348.0,1
203.0,27.9,32.0,0.03125,5.9,275.0,1
98.0,25.6,41.0,0.024390244,5.9,256.0,1
93.0,24.0,49.0,0.020408163,4.9,263.0,1
94.0,22.4,42.0,0.023809524,4.3,314.0,1
81.0,21.5,44.0,0.022727273,4.2,310.0,1
76.0,20.6,49.0,0.020408163,3.9,335.0,1
68.0,19.8,51.0,0.019607843,2.8,327.0,1
64.0,19.2,65.0,0.015384615,2.1,322.0,1
65.0,18.5,72.0,0.013888889,2.8,354.0,1
65.0,17.2,71.0,0.014084507,2.0,355.0,1
59.0,16.8,70.0,0.014285714,1.9,334.0,1
56.0,16.1,77.0,0.012987013,1.7,355.0,1
57.0,15.3,82.0,0.012195122,2.2,343.0,1
58.0,14.4,83.0,0.012048193,1.7,332.0,1
53.0,15.4,80.0,0.0125,1.7,333.0,1
56.0,17.4,57.0,0.01754386,1.4,344.0,1
62.0,19.8,44.0,0.022727273,1.9,357.0,1
79.0,23.7,38.0,0.026315789,2.4,350.0,1
94.0,26.2,32.0,0.03125,2.8,334.0,1
116.0,28.3,30.0,0.033333333,3.3,199.0,1
145.0,29.3,28.0,0.035714286,4.1,221.0,1
149.0,30.1,26.0,0.038461538,4.7,169.0,1
156.0,28.4,27.0,0.037037037,5.5,302.0,1
135.0,28.3,24.0,0.041666667,6.7,279.0,1
94.0,27.2,25.0,0.04,6.9,345.0,1
86.0,26.0,28.0,0.035714286,6.3,359.0,1
87.0,24.5,33.0,0.03030303,6.3,269.0,1
78.0,23.1,37.0,0.027027027,4.4,360.0,1
72.0,22.1,43.0,0.023255814,4.3,353.0,1
68.0,21.2,49.0,0.020408163,3.4,341.0,1
67.0,20.3,58.0,0.017241379,2.5,332.0,1
68.0,19.3,85.0,0.011764706,2.7,334.0,1
67.0,18.9,85.0,0.011764706,3.0,332.0,1
65.0,18.1,85.0,0.011764706,2.1,338.0,1
62.0,17.6,78.0,0.012820513,3.6,348.0,1
61.0,17.4,82.0,0.012195122,2.5,358.0,1
59.0,17.4,84.0,0.011904762,1.9,352.0,1
54.0,17.1,87.0,0.011494253,1.7,347.0,1
50.0,16.9,85.0,0.011764706,1.5,341.0,1
59.0,18.0,70.0,0.014285714,2.3,360.0,1
62.0,19.0,53.0,0.018867925,2.8,357.0,1
73.0,22.2,43.0,0.023255814,2.0,318.0,1
83.0,24.7,40.0,0.025,3.0,360.0,1
101.0,27.3,40.0,0.025,3.1,359.0,1
116.0,28.0,40.0,0.025,3.3,354.0,1
137.0,28.8,50.0,0.02,3.8,241.0,1
146.0,28.6,53.0,0.018867925,3.7,205.0,1
151.0,27.2,54.0,0.018518519,5.1,343.0,1
102.0,26.2,57.0,0.01754386,5.4,333.0,1
87.0,24.7,61.0,0.016393443,5.7,351.0,1
71.0,23.7,68.0,0.014705882,4.7,353.0,1
72.0,21.8,74.0,0.013513514,6.1,360.0,1
67.0,20.5,69.0,0.014492754,5.5,356.0,1
64.0,20.1,74.0,0.013513514,3.6,354.0,1
60.0,19.6,82.0,0.012195122,2.2,354.0,1
32.28571429,18.9,90.0,0.011111111,2.2,350.0,1
35.71428571,18.5,94.0,0.010638298,2.4,354.0,1
25.57142857,17.6,96.0,0.010416667,2.2,342.0,1
51.0,16.9,97.0,0.010309278,2.0,350.0,1
56.0,16.5,96.0,0.010416667,1.4,344.0,1
46.0,16.1,97.0,0.010309278,1.6,298.0,1
54.0,15.8,98.0,0.010204082,1.6,355.0,1
52.0,16.1,95.0,0.010526316,1.7,332.0,1
43.0,17.2,84.0,0.011904762,1.6,338.0,1
54.0,18.9,59.0,0.016949153,1.9,347.0,1
62.0,20.5,53.0,0.018867925,2.5,347.0,1
80.0,24.8,42.0,0.023809524,3.2,359.0,1
101.0,25.8,39.0,0.025641026,3.4,251.0,1
109.0,26.4,44.0,0.022727273,3.0,357.0,1
122.0,26.8,47.0,0.021276596,4.5,343.0,1
138.0,27.6,42.0,0.023809524,5.0,334.0,1
149.0,29.5,45.0,0.022222222,3.7,360.0,1
159.0,30.0,47.0,0.021276596,3.4,347.0,1
145.0,28.5,45.0,0.022222222,5.2,351.0,1
97.0,27.4,48.0,0.020833333,6.0,358.0,1
72.0,25.3,60.0,0.016666667,7.1,330.0,1
69.0,23.8,72.0,0.013888889,5.9,341.0,1
58.0,22.4,71.0,0.014084507,5.4,359.0,1
43.0,21.6,78.0,0.012820513,5.0,359.0,1
42.0,20.5,82.0,0.012195122,3.8,358.0,1
48.0,19.4,81.0,0.012345679,3.2,353.0,1
54.0,18.6,82.0,0.012195122,2.5,359.0,1
53.0,17.9,83.0,0.012048193,2.2,338.0,1
49.0,16.6,85.0,0.011764706,2.5,320.0,1
41.0,16.1,87.0,0.011494253,2.1,357.0,1
36.0,15.9,87.0,0.011494253,2.0,359.0,1
34.0,15.2,87.0,0.011494253,2.0,359.0,1
36.0,16.0,81.0,0.012345679,2.1,344.0,1
43.0,17.6,56.0,0.017857143,2.5,356.0,1
53.0,19.7,49.0,0.020408163,2.6,357.0,1
73.0,23.5,43.0,0.023255814,3.0,340.0,1
94.0,26.4,34.0,0.029411765,2.7,350.0,1
107.0,28.8,26.0,0.038461538,3.2,355.0,1
125.0,30.1,26.0,0.038461538,3.5,354.0,1
152.0,29.5,27.0,0.037037037,3.4,358.0,1
160.0,30.3,27.0,0.037037037,3.9,358.0,1
148.0,30.3,27.0,0.037037037,4.0,360.0,1
148.0,29.4,35.0,0.028571429,5.4,360.0,1
111.0,27.4,40.0,0.025,7.3,352.0,1
97.0,25.3,51.0,0.019607843,6.4,358.0,1
85.0,24.1,61.0,0.016393443,6.3,360.0,1
79.0,23.1,67.0,0.014925373,4.5,347.0,1
54.0,21.9,77.0,0.012987013,3.7,332.0,1
58.0,20.9,77.0,0.012987013,3.4,343.0,1
59.0,20.0,74.0,0.013513514,3.3,341.0,1
58.0,18.9,79.0,0.012658228,2.1,332.0,1
61.0,18.1,81.0,0.012345679,2.6,294.0,1
57.0,17.7,84.0,0.011904762,3.7,357.0,1
54.0,17.4,87.0,0.011494253,2.2,340.0,1
50.0,16.8,87.0,0.011494253,2.1,332.0,1
51.0,16.3,88.0,0.011363636,2.5,346.0,1
47.0,17.3,83.0,0.012048193,1.9,351.0,1
54.0,18.7,67.0,0.014925373,2.1,352.0,1
60.0,21.2,57.0,0.01754386,2.7,355.0,1
73.0,23.9,54.0,0.018518519,3.4,322.0,1
88.0,26.5,44.0,0.022727273,3.5,352.0,1
109.0,27.8,35.0,0.028571429,4.2,348.0,1
130.0,29.0,32.0,0.03125,4.2,354.0,1
124.0,29.6,30.0,0.033333333,3.9,345.0,1
127.0,29.9,29.0,0.034482759,4.3,352.0,1
124.0,29.4,28.0,0.035714286,5.5,359.0,1
146.0,30.7,25.0,0.04,4.3,335.0,1
144.0,30.3,27.0,0.037037037,5.5,328.0,1
138.0,30.9,28.0,0.035714286,5.8,346.0,1
119.0,30.3,28.0,0.035714286,5.4,330.0,1
105.0,30.1,29.0,0.034482759,6.3,335.0,1
90.0,28.0,33.0,0.03030303,5.7,295.0,1
82.0,26.2,47.0,0.021276596,5.8,326.0,1
70.0,24.9,62.0,0.016129032,5.5,346.0,1
62.0,24.1,65.0,0.015384615,3.2,343.0,1
58.0,23.5,67.0,0.014925373,2.1,350.0,1
62.0,22.0,68.0,0.014705882,3.6,346.0,1
73.0,20.4,61.0,0.016393443,3.8,317.0,1
74.0,19.7,64.0,0.015625,2.5,306.0,1
74.0,18.9,65.0,0.015384615,2.5,328.0,1
73.0,18.0,65.0,0.015384615,2.5,334.0,1
72.0,17.6,70.0,0.014285714,2.5,359.0,1
69.0,17.0,72.0,0.013888889,2.5,322.0,1
67.0,16.9,71.0,0.014084507,2.4,348.0,1
57.0,18.3,60.0,0.016666667,1.6,350.0,1
69.0,20.5,41.0,0.024390244,1.8,246.0,1
80.0,24.0,32.0,0.03125,2.5,323.0,1
94.0,27.6,23.0,0.043478261,3.6,338.0,1
126.0,30.1,22.0,0.045454545,3.5,356.0,1
149.0,31.9,22.0,0.045454545,3.8,322.0,1
165.0,30.5,23.0,0.043478261,4.5,273.0,1
